category,question,answer
Firewall,방화벽 규칙에서 체인의 기본 정책을 변경할 때 사용하는 옵션은?,-P(--policy)
Firewall,방화벽 규칙에서 호스트 컴퓨터를 향한 모든 패킷을 처리하는 체인은?,INPUT
Firewall,방화벽 규칙에서 호스트 컴퓨터에서 발생하는 모든 패킷을 처리하는 체인은?,OUTPUT
Firewall,방화벽 규칙에서 라우터로 사용되는 호스트 컴퓨터를 통과하는 패킷을 처리하는 체인은?,FORWARD
Scheduling,리눅스 반복 작업을 자동화할 때 현재 등록된 내용을 삭제하는 명령어와 옵션은?,crontab -r
Scheduling,리눅스 반복 작업을 자동화할 때 현재 등록된 내용을 확인하는 명령어와 옵션은?,crontab -l
Scheduling,리눅스 반복 작업을 자동화할 때 현재 등록된 내용을 수정하는 명령어와 옵션은? ,crontab -e
Scheduling,scheduling 작업에서 특정 사용자가 crontab 명령어를 사용할 수 있도록 허용하는 설정 파일은?,/etc/cron.allow
Scheduling,scheduling 작업에서 특정 사용자가 crontab 명령어를 사용하지 못하도록 제한하는 설정 파일은?,/etc/cron.deny
Scheduling,작업을 단지 한 번만 실행하고 싶은 경우 사용하는 명령어는?,at
Inoutput,두 명령어를 연결하여 앞 명령어의 출력을 뒤 명령어의 입력으로 전달하는 연산자는?,|
Inoutput,특정 문자열이 포함된 줄을 검색하는 명령어는?,grep
Inoutput,파일의 처음 몇 줄을 출력하는 명령어는?,head
Inoutput,파일의 마지막 몇 줄을 출력하는 명령어는?,tail
Inoutput,입력 데이터를 정렬하는 명령어는?,sort
Inoutput,출력을 파일에 저장하는 연산자는?,>
Inoutput,기존 내용을 유지하며 출력을 파일에 추가하는 연산자는?,>>
vi Editor,커서 위치의 다음 칸부터 입력하는 명령어는?,a
vi Editor,커서 위치부터 입력하는 명령어는?,i
vi Editor,커서 바로 아래에 줄을 만들고 입력하는 명령어는?,o
vi Editor,다음 단어의 첫 글자로 이동하는 명령어는?,w
vi Editor,그 줄의 첫 글자로 이동하는 명령어는?,^
vi Editor,한 글자를 교체하는 명령어는?,r
vi Editor,한 단어를 삭제하는 명령어는?,dw
vi Editor,한 줄을 삭제하는 명령어는?,dd
vi Editor,현재 줄을 복사하는 명령어는?,yy
vi Editor,커서 다음 위치에 붙여넣는 명령어는?,p
vi Editor,이전 작업을 취소하는 명령어는?,u
vi Editor,특정 파일을 편집하기 위해 vi 편집기를 실행하는 명령어는?,vi
vi Editor,사용자가 자주 사용하는 명령어나 어렵게 입력하는 명령어를 보다 쉽게 입력할 수 있도록 기능을 제공하는 명령어는?,alias
vi Editor,alias를 삭제하는 명령어는?,unalias
vi Editor,실행 파일을 찾기 위해 참조하는 디렉토리 경로 목록을 저장하는 환경 변수는?,PATH
vi Editor,사용자가 현재 사용하는 기본 셸의 경로를 저장하는 환경 변수는?,SHELL
apache2,패키지 레포지토리를 갱신하는 명령어는?,apt-get update
apache2,apache server를 설치하는 명령어는?,apt-get install apache2
apache2,apache 서비스 상태를 확인하는 명령어는?,systemctl status apache2
apache2,재기동 후 자동 서비스 상태를 활성화하는 명령어는?,systemctl enable apache2
apache2,a2itie 유틸리티를 사용하여 사이트 구성을 활성화하는 명령어는?,a2itite 사이트 이름.conf
apache2,apache2 구성 오류를 테스트하는 명령어는?,apache2ctl configtest
apache2,apache 서비스를 재시작하는 명령어는?,systemctl restart apache2
MariaDB,디렉토리에 MariaDB 구성 파일을 저장하는 명령어는?,apt-get install mariadb-server mariadb-client
MariaDB,MariaDB 서비스 상태를 확인하는 명령어는?,systemctl status mariadb
MariaDB,MariaDB 서비스를 영구 적용하는 명령어는?,systemctl enable mariadb
MariaDB,MariaDB 데이터 베이스 설치에 대한 몇 가지 기본 보안 조치를 활성화하는 명령어는?,mysql_secure_installation
MariaDB,MariaDB 데이터 베이스에 root로 접근하는 명령어는?,mysql -u root -p 
php,php 구성을 확인하는 명령어는?,vi /var/www/html/info.php
php,PhpMyAdmin을 설치하는 명령어는?,apt-get install phpMyAdmin
Docker,docker engine 관련 레포지토리 추가 및 업데이트를 위한 패키지를 설치하는 명령어는?,apt-get install ca-certificates\ curl\ gnupg\ lsb-release
Docker,docker 공식 GPG key를 추가하는 명령어는?,curl -fsSL https://download.docker.com/linux/ubuntu/gpg | sudo gpg --dearmor -o /usr/share/keyrings/docker-archive-keyring.gpg
Docker,docker engine을 설치하는 명령어는?,apt-get install docker-ce-cli containerd.io
Docker,docker version을 확인하는 명령어는?,docker version
Docker,docker daemon 정보를 확인하는 명령어는?,docker info
Docker,docker daemon 상태를 확인하는 명령어는?,systemctl status docker
Docker,컨테이너를 실행하는 명령어는?,docker run 
Docker,이미지 목록을 확인하는 명령어는?,docker images
Docker,이미지를 검색하는 명령어는?,docker search ubuntu
Docker,docker hub로부터 ubuntu 최신 이미지를 다운로드하는 명령어는?,docker pull ubuntu:latest
Docker,실행 중인 컨테이너에 접속하는 명령어는?,docker attach
Docker,실행중인 컨테이너를 확인하는 명령어는?,docker ps
Docker,컨테이너를 시작하는 명령어는?,docker start
Docker,컨테이너를 중지하는 명령어는?,docker stop 
Docker,컨테이너를 재시작하는 명령어는?,docker restart 
Docker,컨테이너를 삭제하는 명령어는?,docker rm 
Dockerfile,Dockerfile 구성에서 어떤 이미지를 기반으로 할지 설정하는 옵션은?,FROM
Dockerfile,Dockerfile 구성에서 이미지 작성자 정보 옵션은?,MAINTAINER
Dockerfile,Dockerfile 구성에서 이미지에서 스크립트나 명령 실행하는 옵션은?,RUN
Dockerfile,Dockerfile 구성에서 컨테이너가 시작되었을 때 스크립트나 명령을 실행하는 옵션은?,CMD
Dockerfile,Dockerfile 구성에서 호스트와 연결할 포트 번호를 설정하는 옵션은?,EXPOSE
Dockerfile,Dockerfile 구성에서 환경 변수를 설정하는 옵션은?,ENV
Dockerfile,Dockerfile 구성에서 이미지에 파일을 추가하는 옵션은?,ADD
Dockerfile,Dockerfile 구성에서 데이터를 호스트에 저장하도록 설정하는 옵션은?,VOLUME
Dockerfile,Dockerfile 구성에서 명령을 실행할 사용자 계정을 설정하는 옵션은?,USER
Dockerfile,Dockerfile 구성에서 명령을 실행할 디렉토리를 설정하는 옵션은?,WORKDIR
Dockerfile,Dockerfile 구성에서 FROM으로 이미지가 사용될 때 실행할 명령을 설정하는 옵션은?,ONBUILD
Docker compose,Docker compose를 설치하는 명령어는?,apt-get install docker-compose
Docker compose,docker-compose.yml 파일 구성을 수정하는 명령어는?,vi docker-compose.yml
Docker compose,백그라운드로 컨테이너를 실행하는 명령어는?,docker-compose up -d
Docker compose,실행 중인 컨테이너를 확인하는 명령어는?,docker-compose ps
Docker compose,docker compose를 통해 db 엔진 컨테이너 수를 조정하는 명령어는?,docker-compose scale mysql=n
